region,month_number,total_sales
ASIA,8,1663320609
USA,8,712002790
EUROPE,8,122102995
AFRICA,8,1809596890
CANADA,8,447073019
OCEANIA,8,2432313652
"SOUTH AMERICA",8,221166052
AFRICA,7,1960219710
CANADA,7,477134947
USA,7,760331754
EUROPE,7,136757466
OCEANIA,7,2563459400
"SOUTH AMERICA",7,235582776
ASIA,7,1768844756
OCEANIA,6,2371884744
USA,6,703878990
"SOUTH AMERICA",6,218247455
EUROPE,6,122813826
ASIA,6,1619482889
CANADA,6,443846698
AFRICA,6,1767559760
EUROPE,5,109338389
USA,5,655967121
"SOUTH AMERICA",5,201391809
OCEANIA,5,2215657304
ASIA,5,1526285399
AFRICA,5,1647244738
CANADA,5,412378365
CANADA,4,484552594
"SOUTH AMERICA",4,238451531
EUROPE,4,127334255
ASIA,4,1804628707
OCEANIA,4,2599767620
AFRICA,4,1911783504
USA,4,759786323
AFRICA,3,567767480
OCEANIA,3,783282888
EUROPE,3,35337093
"SOUTH AMERICA",3,71023109
USA,3,225353043
CANADA,3,144634329
ASIA,3,529770793
OCEANIA,9,372465518
EUROPE,9,18877433
ASIA,9,252836807
"SOUTH AMERICA",9,34175583
USA,9,110532368
AFRICA,9,276320987
CANADA,9,69067959
